seqnames	start	end	strand	gene	event	annotated	frame_conserved	intron_no	SJ_IR	seen_in_treatment	dmso_avg_proportion	dmso_stdev	dmso_avg_reads	chx_avg_proportion	chx_stdev	chx_avg_reads	n
chr17	31236804	31248983	+	NF1	cryptic donor ~ exon 30		FALSE	29	SJ	chx only				0.02%	0.05%	0.3	20
chr17	31265260	32144982	+	NF1	unannotated junctions			40	SJ	chx only				0.02%	0.11%	0.05	20
chr17	31265340	31265693	+	NF1	exon 36 ~ cryptic acceptor		TRUE	36	SJ	chx only				0.02%	0.08%	0.1	20
chr17	31265340	31268743	+	NF1	exon 36 ~ cryptic acceptor		FALSE	36	SJ	chx only				0.02%	0.09%	0.05	20
chr17	31265340	31281118	+	NF1	exon 36 ~ cryptic acceptor		FALSE	36	SJ	chx only				0.02%	0.08%	0.1	20
chr17	31265340	31291340	+	NF1	exon 36 ~ cryptic acceptor		TRUE	36	SJ	chx only				0.02%	0.07%	0.05	20
chr17	31265340	31291692	+	NF1	exon 36 ~ cryptic acceptor		FALSE	36	SJ	chx only				0.02%	0.08%	0.05	20
chr17	31265340	31296990	+	NF1	exon 36 ~ cryptic acceptor		FALSE	36	SJ	chx only				0.02%	0.08%	0.1	20
chr17	31318565	31334837	+	NF1	cryptic donor ~ exon 40		TRUE	37	SJ	chx only				0.02%	0.11%	0.15	20
chr17	31318565	31334837	+	NF1	cryptic donor ~ exon 40		TRUE	39	SJ	chx only				0.02%	0.07%	0.15	20
chr17	31326017	31327645	+	NF1	unannotated junctions			37	SJ	chx only				0.02%	0.09%	0.1	20
chr17	31326253	31330421	+	NF1	exon 37 ~ cryptic acceptor		FALSE	38	SJ	chx only				0.02%	0.05%	0.25	20
chr17	31332251	31334837	+	NF1	cryptic donor ~ exon 40		TRUE	39	SJ	chx only				0.02%	0.05%	0.2	20
chr17	31335032	31337367	+	NF1	exon 41-42 skipping		TRUE	40	SJ	chx only				0.02%	0.10%	0.05	20
chr17	31335032	31337367	+	NF1	exon 41-42 skipping		TRUE	42	SJ	chx only				0.02%	0.07%	0.05	20
chr17	31336414	31337482	+	NF1	unannotated junctions			42	SJ	chx only				0.02%	0.07%	0.05	20
chr17	31336474	31337443	+	NF1	exon 41 ~ cryptic acceptor		FALSE	41	SJ	chx only				0.02%	0.11%	0.15	20
chr17	31338806	31340480	+	NF1	exon 46 ~ cryptic acceptor		TRUE	46	SJ	chx only				0.02%	0.06%	0.1	20
chr17	31340584	31343008	+	NF1	cryptic donor ~ exon 48		FALSE	47	SJ	chx only				0.02%	0.09%	0.1	20
chr17	31346237	31349119	+	NF1	cryptic donor ~ exon 49		FALSE	48	SJ	chx only				0.02%	0.09%	0.15	20
chr17	31350319	31356459	+	NF1	exon 51 skipping		TRUE	50	SJ	chx only				0.02%	0.05%	0.1	20
chr17	31356512	31356959	+	NF1	cryptic donor ~ exon 53		FALSE	52	SJ	chx only				0.02%	0.05%	0.2	20
chr19	11102737	11105219	+	LDLR	cryptic donor ~ exon 4		FALSE	3	SJ	chx only				0.02%	0.05%	0.45	20
chr19	11103997	11105219	+	LDLR	cryptic donor ~ exon 4		FALSE	3	SJ	chx only				0.02%	0.03%	0.5	20
chr19	11106688	11110651	+	LDLR	exon 6 skipping		FALSE	5	SJ	chx only				0.02%	0.04%	0.7	20
chr19	11106688	11110651	+	LDLR	exon 6 skipping		FALSE	6	SJ	chx only				0.02%	0.04%	0.7	20
chr19	11107785	11110651	+	LDLR	cryptic donor ~ exon 7		TRUE	6	SJ	chx only				0.02%	0.03%	0.65	20
chr19	11110783	11111513	+	LDLR	cryptic donor ~ exon 8		FALSE	7	SJ	chx only				0.02%	0.07%	0.35	20
chr19	11116999	11120152	+	LDLR	exon 12 ~ cryptic acceptor		FALSE	12	SJ	chx only				0.02%	0.03%	0.95	20
chr19	11117010	11120091	+	LDLR	cryptic donor ~ exon 13		FALSE	12	SJ	chx only				0.02%	0.03%	1.05	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			8	SJ	chx only				0.02%	0.07%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			18	SJ	chx only				0.02%	0.07%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			19	SJ	chx only				0.02%	0.09%	0.2	20
chr2	237341043	237377213	-	COL6A3	unannotated junctions			20	SJ	chx only				0.02%	0.07%	0.2	20
chr5	128264921	128271998	-	FBN2	exon 62 ~ cryptic acceptor		FALSE	62	SJ	chx only				0.02%	0.06%	0.2	20
chr5	128289266	128289881	-	FBN2	exon 51 ~ cryptic acceptor		FALSE	51	SJ	chx only				0.02%	0.08%	0.3	20
chr5	128301479	128302972	-	FBN2	exon 46 ~ cryptic acceptor		FALSE	46	SJ	chx only				0.02%	0.07%	0.55	20
chr5	128330299	128330572	-	FBN2	exon 33 ~ cryptic acceptor		FALSE	33	SJ	chx only				0.02%	0.09%	0.15	20
chr5	128330444	128330572	-	FBN2	exon 33 ~ cryptic acceptor		FALSE	33	SJ	chx only				0.02%	0.05%	0.2	20
chr5	128357396	128360174	-	FBN2	cryptic donor ~ exon 20		TRUE	19	SJ	chx only				0.02%	0.07%	0.35	20
chr5	128374751	128377751	-	FBN2	exon 14 skipping		FALSE	13	SJ	chx only				0.02%	0.10%	0.25	20
chr5	128374751	128377751	-	FBN2	exon 14 skipping		FALSE	14	SJ	chx only				0.02%	0.08%	0.25	20
chr5	128378398	128378770	-	FBN2	exon 12 ~ cryptic acceptor		FALSE	12	SJ	chx only				0.02%	0.06%	0.45	20
chr5	128392156	128393127	-	FBN2	cryptic donor ~ exon 11		FALSE	10	SJ	chx only				0.02%	0.04%	0.25	20
chr5	128395275	128405515	-	FBN2	cryptic donor ~ exon 9		FALSE	8	SJ	chx only				0.02%	0.06%	0.15	20
chr5	128404617	128408673	-	FBN2	exon 8 ~ cryptic acceptor		TRUE	8	SJ	chx only				0.02%	0.07%	0.3	20
chr5	128408800	128519272	-	FBN2	exon 6-7 skipping		TRUE	7	SJ	chx only				0.02%	0.07%	0.2	20
chr5	128421368	128446480	-	FBN2	exon 7 ~ cryptic acceptor		FALSE	7	SJ	chx only				0.02%	0.09%	0.05	20
chr9	132897545	132902604	-	TSC1	exon 18 ~ cryptic acceptor		TRUE	19	SJ	chx only				0.02%	0.07%	0.1	20
chr9	132907371	132911452	-	TSC1	exon 11-12 skipping		TRUE	10	SJ	chx only				0.02%	0.07%	0.1	20
chr9	132910690	132911022	-	TSC1	unannotated junctions		TRUE	11	SJ	chx only				0.02%	0.07%	0.15	20
chr9	132911569	132912321	-	TSC1	cryptic donor ~ exon 10		FALSE	9	SJ	chx only				0.02%	0.08%	0.1	20
chr9	132912458	132915465	-	TSC1	cryptic donor ~ exon 9		FALSE	8	SJ	chx only				0.02%	0.09%	0.1	20
chr9	132915521	132921362	-	TSC1	exon 8 ~ cryptic acceptor		TRUE	8	SJ	chx only				0.02%	0.09%	0.1	20
chr9	132925740	132926464	-	TSC1	cryptic donor ~ exon 5		FALSE	4	SJ	chx only				0.02%	0.09%	0.1	20
chr9	132926510	132927200	-	TSC1	exon 4 ~ cryptic acceptor		FALSE	4	SJ	chx only				0.02%	0.09%	0.1	20
chr9	132927305	132928189	-	TSC1	cryptic donor ~ exon 4		FALSE	3	SJ	chx only				0.02%	0.07%	0.1	20
chr9	132928238	132928766	-	TSC1	exon 3 ~ cryptic acceptor		TRUE	3	SJ	chx only				0.02%	0.07%	0.1	20
chr9	132939277	132944542	-	TSC1	exon 1 ~ cryptic acceptor		FALSE	1	SJ	chx only				0.02%	0.09%	0.05	20
chrX	41134838	41136805	+	USP9X	exon 5 ~ cryptic acceptor		FALSE	5	SJ	chx only				0.02%	0.09%	0.1	20
chrX	41134838	41136882	+	USP9X	exon 5 ~ cryptic acceptor		FALSE	5	SJ	chx only				0.02%	0.07%	0.15	20
chrX	41171959	41186516	+	USP9X	exon 22-23 skipping		FALSE	21	SJ	chx only				0.02%	0.06%	0.25	20
chrX	41171959	41186516	+	USP9X	exon 22-23 skipping		FALSE	22	SJ	chx only				0.02%	0.08%	0.25	20
chrX	41171959	41186516	+	USP9X	exon 22-23 skipping		FALSE	23	SJ	chx only				0.02%	0.08%	0.25	20
chrX	41184129	41184400	+	USP9X	exon 22 ~ cryptic acceptor		FALSE	22	SJ	chx only				0.02%	0.06%	0.2	20
chrX	41186643	41189308	+	USP9X	exon 25 skipping		TRUE	25	SJ	chx only				0.02%	0.07%	0.15	20
chrX	41186643	41189402	+	USP9X	exon 24 ~ cryptic acceptor		FALSE	24	SJ	chx only				0.02%	0.08%	0.1	20
chrX	41186643	41189402	+	USP9X	exon 24 ~ cryptic acceptor		FALSE	25	SJ	chx only				0.02%	0.09%	0.1	20
chrX	41196739	41198666	+	USP9X	exon 28 ~ cryptic acceptor		FALSE	28	SJ	chx only				0.02%	0.06%	0.4	20
chrX	41196739	41198666	+	USP9X	exon 28 ~ cryptic acceptor		FALSE	29	SJ	chx only				0.02%	0.08%	0.4	20
chrX	41196739	41201059	+	USP9X	exon 29-30 skipping		TRUE	28	SJ	chx only				0.02%	0.07%	0.3	20
chrX	41196739	41201059	+	USP9X	exon 29-30 skipping		TRUE	29	SJ	chx only				0.02%	0.08%	0.3	20
chrX	41197511	41198666	+	USP9X	exon 29 ~ cryptic acceptor		FALSE	29	SJ	chx only				0.02%	0.04%	0.25	20
chrX	41201207	41205302	+	USP9X	cryptic donor ~ exon 32		FALSE	31	SJ	chx only				0.02%	0.06%	0.15	20
chrX	41201281	41205304	+	USP9X	exon 31 ~ cryptic acceptor		FALSE	31	SJ	chx only				0.02%	0.05%	0.25	20
chrX	41205494	41223216	+	USP9X	exon 33-34-35-36-37-38 skipping		TRUE	37	SJ	chx only				0.02%	0.09%	0.05	20
chrX	41217318	41224741	+	USP9X	cryptic donor ~ exon 40		FALSE	38	SJ	chx only				0.02%	0.11%	0.1	20
chrX	41217318	41224741	+	USP9X	cryptic donor ~ exon 40		FALSE	39	SJ	chx only				0.02%	0.08%	0.1	20
chr9	132896755	132897422	-	TSC1	exon 22 skipping		FALSE	21	SJ	both	0.16%	0.37%	0.5	0.01%	0.06%	0.05	20
chr9	132896755	132897422	-	TSC1	exon 22 skipping		FALSE	22	SJ	both	0.16%	0.35%	0.5	0.01%	0.05%	0.05	20
chr11	108271407	108272721	+	ATM	exon 22 skipping		FALSE	22	SJ	both	0.13%	0.59%	0.3	0.01%	0.06%	0.05	20
chr12	51912536	51918984	+	ACVRL1	exon 3-4-5-6-7-8 skipping		TRUE	2	SJ	both	0.13%	0.35%	0.35	0.01%	0.07%	0.05	20
chr11	108331558	108331864	+	ATM	exon 52 ~ cryptic acceptor		FALSE	52	SJ	both	0.12%	0.21%	0.65	0.01%	0.04%	0.05	20
chrX	41134838	41140655	+	USP9X	exon 6 skipping		TRUE	6	SJ	both	0.12%	0.26%	0.6	0.01%	0.03%	0.1	20
chr1	12274853	12275824	+	VPS13D	cryptic donor ~ exon 19		FALSE	18	SJ	both	0.11%	0.34%	0.4	0.01%	0.05%	0.05	20
chr11	108271407	108272721	+	ATM	exon 22 skipping		FALSE	21	SJ	both	0.11%	0.49%	0.3	0.01%	0.05%	0.05	20
chr12	51912536	51918984	+	ACVRL1	exon 3-4-5-6-7-8 skipping		TRUE	8	SJ	both	0.10%	0.27%	0.35	0.01%	0.06%	0.05	20
chr17	31260516	31265228	+	NF1	exon 35 skipping		FALSE	34	SJ	both	0.10%	0.22%	0.4	0.01%	0.05%	0.05	20
chr1	12400352	12401607	+	VPS13D	cryptic donor ~ exon 62		TRUE	61	SJ	both	0.09%	0.34%	0.25	0.01%	0.06%	0.05	20
chr12	51912536	51918984	+	ACVRL1	exon 3-4-5-6-7-8 skipping		TRUE	4	SJ	both	0.09%	0.23%	0.35	0.01%	0.05%	0.05	20
chr12	51912536	51918984	+	ACVRL1	exon 3-4-5-6-7-8 skipping		TRUE	7	SJ	both	0.09%	0.22%	0.35	0.01%	0.06%	0.05	20
chr14	73147877	73147942	+	PSEN1	exon 2 ~ cryptic acceptor		TRUE	2	SJ	both	0.08%	0.14%	0.5	0.01%	0.03%	0.05	20
chr16	2111616	2112339	-	PKD1	exon 14 ~ cryptic acceptor		FALSE	14	SJ	both	0.08%	0.14%	0.75	0.01%	0.03%	0.05	20
chr17	31260516	31265228	+	NF1	exon 35 skipping		FALSE	35	SJ	both	0.08%	0.19%	0.4	0.01%	0.04%	0.05	20
chrX	41134838	41140655	+	USP9X	exon 6 skipping		TRUE	5	SJ	both	0.08%	0.16%	0.6	0.01%	0.03%	0.1	20
chr12	51912536	51918984	+	ACVRL1	exon 3-4-5-6-7-8 skipping		TRUE	6	SJ	both	0.07%	0.18%	0.35	0.01%	0.04%	0.05	20
chr16	2099771	2099890	-	PKD1	cryptic donor ~ exon 30		TRUE	29	SJ	both	0.07%	0.32%	0.1	0.01%	0.06%	0.05	20
chr17	31265340	31296953	+	NF1	exon 36 ~ cryptic acceptor		TRUE	36	SJ	both	0.07%	0.30%	0.1	0.01%	0.05%	0.05	20
chr15	48613093	48646103	-	FBN1	cryptic donor ~ exon 3		FALSE	1	SJ	both	0.06%	0.10%	1.25	0.01%	0.02%	0.2	20
chr1	42930003	42930625	-	SLC2A1	exon 4 ~ cryptic acceptor		TRUE	4	SJ	both	0.05%	0.18%	0.2	0.01%	0.03%	0.1	20
chr11	108312499	108317372	+	ATM	exon 42-43 skipping		FALSE	41	SJ	both	0.05%	0.11%	0.3	0.01%	0.05%	0.1	20
chr11	108312499	108317372	+	ATM	exon 42-43 skipping		FALSE	42	SJ	both	0.05%	0.11%	0.3	0.01%	0.07%	0.1	20
chr16	2074390	2081594	+	TSC2	exon 23-24-25-26-27-28-29-30 skipping		TRUE	30	SJ	both	0.05%	0.21%	0.1	0.01%	0.06%	0.05	20
chr19	11102787	11107391	+	LDLR	exon 4-5 skipping	alternative	TRUE	3	SJ	both	0.05%	0.18%	0.15	0.01%	0.02%	0.4	20
chr5	128446607	128519272	-	FBN2	exon 6 skipping		TRUE	6	SJ	both	0.05%	0.18%	0.35	0.01%	0.05%	0.3	20
chrX	41123725	41134724	+	USP9X	exon 3-4 skipping		FALSE	4	SJ	both	0.05%	0.11%	0.35	0.01%	0.04%	0.1	20
chrX	41225138	41230500	+	USP9X	exon 42-43 skipping		TRUE	41	SJ	both	0.05%	0.12%	0.6	0.01%	0.03%	0.05	20
chrX	41225138	41230500	+	USP9X	exon 42-43 skipping		TRUE	42	SJ	both	0.05%	0.10%	0.6	0.01%	0.02%	0.05	20
chr1	12249340	12253727	+	VPS13D	exon 6 ~ cryptic acceptor		TRUE	6	SJ	both	0.04%	0.17%	0.1	0.01%	0.06%	0.05	20
chr16	2074390	2081594	+	TSC2	exon 23-24-25-26-27-28-29-30 skipping		TRUE	29	SJ	both	0.04%	0.20%	0.1	0.01%	0.06%	0.05	20
chr16	2104604	2105321	-	PKD1	exon 21 ~ cryptic acceptor		TRUE	21	SJ	both	0.04%	0.10%	0.45	0.01%	0.05%	0.1	20
chr16	2112664	2112787	-	PKD1	exon 13 ~ cryptic acceptor		FALSE	13	SJ	both	0.04%	0.13%	0.25	0.01%	0.03%	0.05	20
chr17	31236022	31244651	+	NF1	exon 29 ~ cryptic acceptor		TRUE	29	SJ	both	0.04%	0.09%	0.35	0.01%	0.02%	0.1	20
chr17	31265340	31290710	+	NF1	exon 36 ~ cryptic acceptor		TRUE	36	SJ	both	0.04%	0.11%	0.15	0.01%	0.04%	0.05	20
chr17	31287009	31325819	+	NF1	cryptic donor ~ exon 37		TRUE	36	SJ	both	0.04%	0.12%	0.2	0.01%	0.04%	0.05	20
chr19	11102787	11107391	+	LDLR	exon 4-5 skipping	alternative	TRUE	5	SJ	both	0.04%	0.13%	0.15	0.01%	0.01%	0.4	20
chr5	128273969	128276037	-	FBN2	exon 60 skipping		FALSE	59	SJ	both	0.04%	0.07%	1	0.01%	0.02%	0.35	20
chr5	128273969	128276037	-	FBN2	exon 60 skipping		FALSE	60	SJ	both	0.04%	0.07%	1	0.01%	0.03%	0.35	20
chr1	12379601	12382975	+	VPS13D	cryptic donor ~ exon 58		FALSE	57	SJ	both	0.03%	0.14%	0.05	0.01%	0.05%	0.05	20
chr11	108284474	108288976	+	ATM	exon 28 skipping		TRUE	27	SJ	both	0.03%	0.09%	0.15	0.01%	0.06%	0.05	20
chr11	108284474	108288976	+	ATM	exon 28 skipping		TRUE	28	SJ	both	0.03%	0.09%	0.15	0.01%	0.06%	0.05	20
chr14	73148095	73186852	+	PSEN1	cryptic donor ~ exon 6		TRUE	4	SJ	both	0.03%	0.09%	0.3	0.01%	0.06%	0.05	20
chr14	73194137	73198030	+	PSEN1	cryptic donor ~ exon 8		TRUE	7	SJ	both	0.03%	0.09%	0.15	0.01%	0.05%	0.05	20
chr15	48516363	48526129	-	FBN1	exon 10 skipping		FALSE	9	SJ	both	0.03%	0.03%	2.45	0.01%	0.01%	1	20
chr16	2074390	2081594	+	TSC2	exon 23-24-25-26-27-28-29-30 skipping		TRUE	23	SJ	both	0.03%	0.13%	0.1	0.01%	0.05%	0.05	20
chr16	2074390	2081594	+	TSC2	exon 23-24-25-26-27-28-29-30 skipping		TRUE	27	SJ	both	0.03%	0.15%	0.1	0.01%	0.06%	0.05	20
chr16	2076586	2078062	+	TSC2	exon 25 ~ cryptic acceptor		TRUE	25	SJ	both	0.03%	0.16%	0.1	0.01%	0.04%	0.05	20
chr16	2092189	2093533	-	PKD1	cryptic donor ~ exon 40		FALSE	38	SJ	both	0.03%	0.08%	0.25	0.01%	0.06%	0.1	20
chr16	2102628	2103265	-	PKD1	exon 23 ~ cryptic acceptor		FALSE	23	SJ	both	0.03%	0.12%	0.1	0.01%	0.03%	0.05	20
chr16	2102628	2103265	-	PKD1	exon 23 ~ cryptic acceptor		FALSE	24	SJ	both	0.03%	0.13%	0.1	0.01%	0.05%	0.05	20
chr19	11089616	11105219	+	LDLR	exon 2-3 skipping		FALSE	2	SJ	both	0.03%	0.06%	0.45	0.01%	0.03%	0.45	20
chr2	237394668	237396726	-	COL6A3	exon 2 ~ cryptic acceptor		TRUE	2	SJ	both	0.03%	0.02%	3.65	0.01%	0.01%	1.65	20
chr21	46111592	46111903	+	COL6A2	exon 2 ~ cryptic acceptor		TRUE	2	SJ	both	0.03%	0.03%	5.85	0.01%	0.01%	2.55	20
chr5	128377878	128392017	-	FBN2	exon 12 skipping		FALSE	11	SJ	both	0.03%	0.08%	0.3	0.01%	0.03%	0.25	20
chr5	128377878	128392017	-	FBN2	exon 12 skipping		FALSE	12	SJ	both	0.03%	0.09%	0.3	0.01%	0.04%	0.25	20
chr5	128446607	128519272	-	FBN2	exon 6 skipping		TRUE	5	SJ	both	0.03%	0.09%	0.35	0.01%	0.03%	0.3	20
chr9	127815695	127815942	-	ENG	exon 14 ~ cryptic acceptor		FALSE	14	SJ	both	0.03%	0.04%	1.2	0.01%	0.02%	0.25	20
chr9	132897611	132901588	-	TSC1	exon 20 skipping		FALSE	19	SJ	both	0.03%	0.11%	0.15	0.01%	0.05%	0.05	20
chr9	132911114	132921362	-	TSC1	exon 9-10 skipping		FALSE	8	SJ	both	0.03%	0.14%	0.1	0.01%	0.05%	0.05	20
chrX	41123725	41134724	+	USP9X	exon 3-4 skipping		FALSE	3	SJ	both	0.03%	0.06%	0.35	0.01%	0.03%	0.1	20
chr11	108229324	108246963	+	ATM	exon 6-7-8 skipping		FALSE	5	SJ	both	0.02%	0.07%	0.05	0.01%	0.04%	0.05	20
chr11	108321421	108326057	+	ATM	exon 47 skipping		FALSE	47	SJ	both	0.02%	0.08%	0.1	0.01%	0.04%	0.05	20
chr14	73148095	73186852	+	PSEN1	cryptic donor ~ exon 6		TRUE	3	SJ	both	0.02%	0.07%	0.3	0.01%	0.04%	0.05	20
chr14	73148095	73186852	+	PSEN1	cryptic donor ~ exon 6		TRUE	5	SJ	both	0.02%	0.05%	0.3	0.01%	0.04%	0.05	20
chr14	73217245	73225606	+	PSEN1	exon 11 ~ cryptic acceptor		FALSE	11	SJ	both	0.02%	0.06%	0.15	0.01%	0.03%	0.1	20
chr15	48437078	48437767	-	FBN1	exon 52 skipping		FALSE	51	SJ	both	0.02%	0.04%	1.5	0.01%	0.02%	0.65	20
chr15	48437078	48437767	-	FBN1	exon 52 skipping		FALSE	52	SJ	both	0.02%	0.03%	1.5	0.01%	0.02%	0.65	20
chr15	48492581	48494203	-	FBN1	exon 23 ~ cryptic acceptor		TRUE	23	SJ	both	0.02%	0.03%	0.65	0.01%	0.01%	0.5	20
chr15	48515516	48516182	-	FBN1	exon 11 ~ cryptic acceptor		TRUE	11	SJ	both	0.02%	0.03%	0.9	0.01%	0.02%	0.5	20
chr15	48516363	48526129	-	FBN1	exon 10 skipping		FALSE	10	SJ	both	0.02%	0.02%	2.45	0.01%	0.01%	1	20
chr16	2050487	2056643	+	TSC2	exon 4-5-6-7 skipping		FALSE	4	SJ	both	0.02%	0.08%	0.05	0.01%	0.06%	0.1	20
chr16	2062601	2062974	+	TSC2	exon 13 ~ cryptic acceptor		TRUE	13	SJ	both	0.02%	0.08%	0.15	0.01%	0.06%	0.05	20
chr16	2074390	2081594	+	TSC2	exon 23-24-25-26-27-28-29-30 skipping		TRUE	25	SJ	both	0.02%	0.08%	0.1	0.01%	0.04%	0.05	20
chr16	2074390	2081594	+	TSC2	exon 23-24-25-26-27-28-29-30 skipping		TRUE	26	SJ	both	0.02%	0.09%	0.1	0.01%	0.04%	0.05	20
chr16	2074390	2081594	+	TSC2	exon 23-24-25-26-27-28-29-30 skipping		TRUE	28	SJ	both	0.02%	0.11%	0.1	0.01%	0.04%	0.05	20
chr16	2075247	2080768	+	TSC2	unannotated junctions			24	SJ	both	0.02%	0.06%	0.15	0.01%	0.06%	0.1	20
chr16	2076586	2077696	+	TSC2	exon 25 ~ cryptic acceptor		TRUE	25	SJ	both	0.02%	0.07%	0.15	0.01%	0.04%	0.05	20
chr16	2106678	2107882	-	PKD1	exon 17 skipping		FALSE	16	SJ	both	0.02%	0.05%	0.1	0.01%	0.04%	0.05	20
chr17	31182666	31229024	+	NF1	exon 9-10-11-12-13-14-15-16-17-18-19-20 skipping		FALSE	9	SJ	both	0.02%	0.06%	0.3	0.01%	0.03%	0.2	20
chr17	31253001	31254809	+	NF1	exon 31 ~ cryptic acceptor		TRUE	31	SJ	both	0.02%	0.07%	0.1	0.01%	0.04%	0.1	20
chr17	31330499	31334718	+	NF1	exon 39 ~ cryptic acceptor		FALSE	39	SJ	both	0.02%	0.06%	0.1	0.01%	0.03%	0.05	20
chr17	31338140	31340580	+	NF1	exon 45 ~ cryptic acceptor		FALSE	46	SJ	both	0.02%	0.07%	0.1	0.01%	0.05%	0.05	20
chr19	11089616	11105219	+	LDLR	exon 2-3 skipping		FALSE	1	SJ	both	0.02%	0.05%	0.45	0.01%	0.02%	0.45	20
chr19	11120523	11129512	+	LDLR	exon 15-16 skipping		TRUE	15	SJ	both	0.02%	0.05%	0.4	0.01%	0.02%	0.4	20
chr2	237367287	237374411	-	COL6A3	exon 9-10 skipping		FALSE	8	SJ	both	0.02%	0.02%	1.1	0.01%	0.01%	0.8	20
chr2	237372338	237374699	-	COL6A3	cryptic donor ~ exon 9		TRUE	8	SJ	both	0.02%	0.03%	1.35	0.01%	0.02%	0.85	20
chr2	237394695	237396726	-	COL6A3	exon 2 ~ cryptic acceptor		TRUE	2	SJ	both	0.02%	0.02%	2.4	0.01%	0.02%	1.35	20
chr21	25891869	25911740	-	APP	exon 15-16 skipping		FALSE	14	SJ	both	0.02%	0.03%	1.1	0.01%	0.02%	0.25	20
chr21	25891869	25911740	-	APP	exon 15-16 skipping		FALSE	15	SJ	both	0.02%	0.03%	1.1	0.01%	0.02%	0.25	20
chr21	45907434	46125872	+	COL6A2	unannotated junctions			14	SJ	both	0.02%	0.07%	0.5	0.01%	0.03%	0.9	20
chr21	45992399	45998923	+	COL6A1	exon 18 ~ cryptic acceptor		FALSE	18	SJ	both	0.02%	0.01%	6.5	0.01%	0.01%	4.45	20
chr21	45992399	45998923	+	COL6A1	exon 18 ~ cryptic acceptor		FALSE	21	SJ	both	0.02%	0.02%	6.5	0.01%	0.01%	4.45	20
chr21	45992399	45998923	+	COL6A1	exon 18 ~ cryptic acceptor		FALSE	22	SJ	both	0.02%	0.01%	6.5	0.01%	0.01%	4.45	20
chr21	45992811	45997420	+	COL6A1	exon 20 skipping		FALSE	20	SJ	both	0.02%	0.01%	4.8	0.01%	0.02%	2.95	20
chr21	46119309	46119787	+	COL6A2	cryptic donor ~ exon 15		TRUE	14	SJ	both	0.02%	0.09%	0.6	0.01%	0.02%	0.85	20
chr21	46126542	46131930	+	COL6A2	exon 27 ~ cryptic acceptor		FALSE	27	SJ	both	0.02%	0.02%	7.05	0.01%	0.01%	3.3	20
chr5	128338123	128344384	-	FBN2	exon 26 skipping		FALSE	25	SJ	both	0.02%	0.04%	0.25	0.01%	0.02%	0.35	20
chr5	128374751	128464723	-	FBN2	exon 7-8-9-10-11-12-13-14 skipping		TRUE	6	SJ	both	0.02%	0.06%	0.1	0.01%	0.05%	0.05	20
chr9	127818827	127819621	-	ENG	exon 10 ~ cryptic acceptor		TRUE	10	SJ	both	0.02%	0.03%	0.8	0.01%	0.02%	0.35	20
chr9	127825856	127826509	-	ENG	exon 4 ~ cryptic acceptor		FALSE	4	SJ	both	0.02%	0.06%	0.45	0.01%	0.03%	0.2	20
chr9	132911114	132921362	-	TSC1	exon 9-10 skipping		FALSE	9	SJ	both	0.02%	0.07%	0.1	0.01%	0.03%	0.05	20
chr9	132923493	132944542	-	TSC1	exon 2-3-4-5 skipping		FALSE	4	SJ	both	0.02%	0.09%	0.1	0.01%	0.06%	0.05	20
chrX	41123725	41129048	+	USP9X	exon 2 ~ cryptic acceptor		FALSE	2	SJ	both	0.02%	0.05%	0.4	0.01%	0.05%	0.15	20
chrX	41123725	41134724	+	USP9X	exon 3-4 skipping		FALSE	2	SJ	both	0.02%	0.05%	0.35	0.01%	0.03%	0.1	20
chrX	41196360	41196598	+	USP9X	exon 27 ~ cryptic acceptor		FALSE	27	SJ	both	0.02%	0.07%	0.25	0.01%	0.04%	0.05	20
chrX	41196739	41198527	+	USP9X	exon 29 skipping		TRUE	28	SJ	both	0.02%	0.04%	0.2	0.01%	0.03%	0.05	20
chrX	41196739	41198527	+	USP9X	exon 29 skipping		TRUE	29	SJ	both	0.02%	0.05%	0.2	0.01%	0.03%	0.05	20
chr1	12507094	12507723	+	VPS13D	exon 69 ~ cryptic acceptor		FALSE	69	SJ	both	0.01%	0.07%	0.05	0.01%	0.05%	0.05	20
chr1	42942643	42943225	-	SLC2A1	exon 2 ~ cryptic acceptor		TRUE	2	SJ	both	0.01%	0.04%	0.15	0.01%	0.04%	0.15	20
chr1	42943322	42957301	-	SLC2A1	cryptic donor ~ exon 2		TRUE	1	SJ	both	0.01%	0.04%	0.05	0.01%	0.04%	0.2	20
chr11	108327759	108329102	+	ATM	exon 49 ~ cryptic acceptor		FALSE	49	SJ	both	0.01%	0.05%	0.05	0.01%	0.05%	0.05	20
chr11	108345909	108347254	+	ATM	exon 59 ~ cryptic acceptor		TRUE	59	SJ	both	0.01%	0.03%	0.05	0.01%	0.06%	0.05	20
chr12	51915022	51915224	+	ACVRL1	cryptic donor ~ exon 7		FALSE	6	SJ	both	0.01%	0.03%	0.05	0.01%	0.04%	0.05	20
chr12	51915501	51915625	+	ACVRL1	exon 7 ~ cryptic acceptor		FALSE	7	SJ	both	0.01%	0.05%	0.1	0.01%	0.05%	0.1	20
chr12	112419126	112450320	+	PTPN11	exon 1 ~ cryptic acceptor		FALSE	1	SJ	both	0.01%	0.06%	0.1	0.01%	0.04%	0.15	20
