chrom	start	end	strand	transcript	gene
chr16	69709400	69726560	-	NM_000903.3	NQO1
chr16	89560681	89564542	+	NM_000977.4	RPL13
chr16	1349239	1351878	-	NM_001001410.3	TSR3
chr16	46796602	46831180	-	NM_001001436.4	C16orf87
chr16	69118009	69132588	-	NM_001002847.4	DERPC
chr16	20028238	20073890	-	NM_001002911.4	GPR139
chr16	165977	166764	+	NM_001003938.4	HBM
chr16	16232527	16294811	+	NM_001004067.4	NOMO3
chr16	681669	684334	-	NM_001005920.4	JMJD8
chr16	24919388	25015369	-	NM_001006634.3	ARHGAP17
chr16	31214118	31231537	+	NM_001008274.4	TRIM72
chr16	1911474	1918415	-	NM_001009606.4	HS3ST6
chr16	2088707	2135898	-	NM_001009944.3	PKD1
chr16	88706502	88715396	+	NM_001012759.3	CTU2
chr16	25236000	25257845	-	NM_001012981.5	ZKSCAN2
chr16	67666813	67668755	+	NM_001012984.3	C16orf86
chr16	19701936	19718227	-	NM_001012991.3	KNOP1
chr16	67645143	67657569	+	NM_001013838.3	CARMIL2
chr16	30757422	30762062	-	NM_001014979.3	CFAP119
chr16	28985051	28990784	+	NM_001014987.2	LAT
chr16	30193874	30197561	+	NM_001014999.3	SLX1A
chr16	78224	85846	+	NM_001015052.3	MPG
chr16	29459912	29464966	+	NM_001017390.3	SULT1A4
chr16	18781294	18790334	-	NM_001019.5	RPS15A
chr16	28292524	28323849	+	NM_001024401.3	SBK1
chr16	55802850	55833096	-	NM_001025195.2	CES1
chr16	75204102	75207161	-	NM_001025200.4	CTRB2
chr16	29453592	29454351	-	NM_001031827.3	BOLA2
chr16	19113963	19121629	+	NM_001034841.4	ITPRIPL2
chr16	67660959	67662774	+	NM_001037281.2	PARD6A
chr16	23182744	23216883	+	NM_001039.4	SCNN1G
chr16	30192931	30193666	-	NM_001039182.4	BOLA2B
chr16	31083436	31088943	-	NM_001039503.3	PRSS53
chr16	69118009	69132588	-	NM_001039690.5	CHTF8
chr16	67175598	67183963	-	NM_001040715.2	MATCAP1
chr16	2211592	2214840	-	NM_001042371.3	PGP
chr16	3112585	3120517	+	NM_001042428.2	ZNF205
chr16	28477278	28492074	-	NM_001042432.2	CLN3
chr16	31472151	31477958	+	NM_001042454.3	TGFB1I1
chr16	90004870	90019456	-	NM_001042610.3	DBNDD1
chr16	2530034	2531408	-	NM_001048212.3	CEMP1
chr16	28591942	28597050	-	NM_001054.4	SULT1A2
chr16	28605257	28610044	-	NM_001055.4	SULT1A1
chr16	85385	138673	-	NM_001077350.3	NPRL3
chr16	75536740	75556252	-	NM_001077418.3	TMEM231
chr16	10766674	10818794	-	NM_001079512.4	TVP23A
chr16	4847480	4882401	+	NM_001079514.3	UBN1
chr16	30778455	30787205	-	NM_001080417.3	ZNF629
chr16	52436416	52547143	-	NM_001080430.4	TOX3
chr16	53704155	54121941	+	NM_001080432.3	FTO
chr16	84009666	84042795	-	NM_001080442.3	SLC38A8
chr16	88863332	88866660	-	NM_001080487.4	PABPN1L
chr16	3493483	3495489	-	NM_001080524.2	C16orf90
chr16	67657511	67660260	-	NM_001082486.2	ACD
chr16	3443679	3486953	+	NM_001083601.3	NAA60
chr16	29962078	29973048	+	NM_001083613.2	TMEM219
chr16	23520753	23557350	-	NM_001083614.2	EARS2
chr16	2275880	2340728	-	NM_001089.3	ABCA3
chr16	90056565	90077331	-	NM_001098173.2	PRDM7
chr16	5044121	5065956	-	NM_001098514.3	C16orf89
chr16	4189373	4242080	-	NM_001098814.2	SRL
chr16	2019784	2020755	+	NM_001099456.3	NPW
chr16	33360840	33363478	+	NM_001099687.4	TP53TG3B
chr16	81007213	81031485	+	NM_001100624.3	CENPN
chr16	67289431	67326741	-	NM_001100915.3	KCTD19
chr16	20536225	20576367	-	NM_001105069.2	ACSM2B
chr16	30658430	30670810	+	NM_001105079.3	FBRS
chr16	31459500	31467165	+	NM_001105247.2	ARMC5
chr16	77722513	77742260	+	NM_001105663.3	NUDT7
chr16	30023197	30024704	+	NM_001109659.2	C16orf92
chr16	27787527	28063714	-	NM_001109763.2	GSG1L
chr16	89721536	89740925	+	NM_001113525.2	ZNF276
chr16	50266550	50318135	+	NM_001114.5	ADCY7
chr16	3962652	4116442	-	NM_001116.4	ADCY9
chr16	56865206	56915850	+	NM_001126108.2	SLC12A3
chr16	71728999	71808834	-	NM_001128.6	AP1G1
chr16	20900770	20925006	+	NM_001128302.3	LYRM1
chr16	15395753	15413271	+	NM_001128423.2	MPV17L
chr16	67279531	67289480	+	NM_001129729.3	PLEKHG4
chr16	77199407	77213215	+	NM_001129979.3	SYCE1L
chr16	2026901	2039026	+	NM_001130012.3	NHERF2
chr16	57758216	57802491	-	NM_001130100.2	KIFC3
chr16	31713243	31761565	+	NM_001130913.2	KRBOX5
chr16	9753407	10182428	-	NM_001134407.3	GRIN2A
chr16	11547721	11586919	-	NM_001136472.2	LITAF
chr16	66754639	66801584	-	NM_001136505.2	TERB1
chr16	31435433	31442789	-	NM_001136509.3	ZNF843
chr16	71845975	71857328	+	NM_001137675.4	ATXN1L
chr16	67482570	67483547	-	NM_001138.2	AGRP
chr16	30407605	30419414	+	NM_001142305.2	ZNF771
chr16	20796339	20806472	-	NM_001142725.2	ERI2
chr16	88715337	88785220	-	NM_001142864.4	PIEZO1
chr16	55846153	55875373	-	NM_001143685.2	CES5A
chr16	1434382	1444556	-	NM_001143980.3	CCDC154
chr16	56361451	56425545	-	NM_001144.6	AMFR
chr16	4556339	4600758	+	NM_001145011.2	C16orf96
chr16	12901597	13240416	+	NM_001145204.3	SHISA9
chr16	84191156	84197166	+	NM_001145400.2	ADAD2
chr16	27066926	27069166	+	NM_001145545.2	C16orf82
chr16	74447439	74607114	-	NM_001145667.2	GLG1
chr16	8569499	8590511	-	NM_001146336.2	TMEM114
chr16	86530185	86555235	-	NM_001159377.2	MTHFSD
chr16	58515516	58523842	+	NM_001160305.4	SETD6
chr16	1833985	1872164	-	NM_001163560.3	MEIOB
chr16	22008110	22084654	+	NM_001164579.2	MOSMO
chr16	71526425	71538748	+	NM_001166395.2	CHST4
chr16	25216946	25228932	+	NM_001169.3	AQP8
chr16	16149564	16223494	-	NM_001171.6	ABCC6
chr16	55655987	55706192	+	NM_001172501.3	SLC6A2
chr16	1072746	1081454	+	NM_001172560.3	SSTR5
chr16	30553763	30558374	-	NM_001172679.2	ZNF764
chr16	280590	283010	+	NM_001176.4	ARHGDIG
chr16	66427294	66482833	+	NM_001178020.3	BEAN1
chr16	11965209	11968068	+	NM_001192.3	TNFRSF17
chr16	87302813	87317392	-	NM_001195124.3	C16orf95
chr16	1333644	1349439	+	NM_001199097.2	BAIAP3
chr16	2475126	2505730	+	NM_001199107.2	TBC1D24
chr16	69105652	69117660	+	NM_001199280.2	HAS3
chr16	89217702	89237141	+	NM_001201407.2	ZNF778
chr16	71859684	71884182	-	NM_001201552.2	ZNF821
chr16	33194225	33196858	+	NM_001205259.3	TP53TG3C
chr16	30395419	30400108	+	NM_001214909.2	ZNF48
chr16	89948754	89968060	+	NM_001242818.2	DEF8
chr16	58500142	58513619	+	NM_001242835.2	NDRG4
chr16	84177854	84187057	-	NM_001243156.2	TAF1C
chr16	30065759	30070414	+	NM_001243177.4	ALDOA
chr16	89093851	89156233	+	NM_001243279.3	ACSF3
chr16	29871158	29899550	-	NM_001243332.2	SEZ6L2
chr16	32253285	32255928	+	NM_001243722.3	TP53TG3D
chr16	4795368	4796491	+	NM_001253794.2	SMIM22
chr16	19285730	19310947	+	NM_001256720.2	CLEC19A
chr16	30740641	30745196	+	NM_001256829.2	TMEM265
chr16	82626968	83800640	+	NM_001257.5	CDH13
chr16	1772809	1781702	+	NM_001257370.2	EME2
chr16	19417882	19499113	+	NM_001261841.2	TMC5
chr16	69762331	69941739	+	NM_001270454.2	WWP2
chr16	70802083	71230722	-	NM_001270974.2	HYDIN
chr16	71895530	71931199	+	NM_001270975.2	IST1
chr16	89657835	89670458	+	NM_001271907.2	SPATA33
chr16	1419751	1420747	-	NM_001272051.2	UQCC4
chr16	67170537	67175737	+	NM_001276309.3	NOL3
chr16	15363627	15378294	-	NM_001277325.2	NPIPA5
chr16	675670	678268	+	NM_001278720.2	RHBDL1
chr16	50025224	50037081	+	NM_001281789.2	CNEP1R1
chr16	68013435	68015911	-	NM_001282442.2	DPEP2NB
chr16	16379139	16393972	+	NM_001282507.2	NPIPA7
chr16	18317918	18336736	-	NM_001282511.3	NPIPA8
chr16	3382084	3401004	-	NM_001284527.2	ZSCAN32
chr16	1444934	1475028	-	NM_001287.6	CLCN7
chr16	28751786	28772864	+	NM_001287250.3	NPIPB9
chr16	67806888	67828068	+	NM_001288990.3	TSNAXIP1
chr16	57694805	57731805	+	NM_001289162.2	DRC7
chr16	57882339	57971128	-	NM_001297.5	CNGB1
chr16	567004	569495	+	NM_001301159.2	NHLRC4
chr16	56666729	56668065	-	NM_001301267.2	MT1G
chr16	21158673	21180616	+	NM_001301771.2	LDAF1
chr16	3305496	3318851	+	NM_001302109.2	ZNF75A
chr16	57542642	57577189	+	NM_001304376.3	ADGRG5
chr16	30530366	30534858	-	NM_001305018.2	ZNF747
chr16	58279996	58295025	-	NM_001305173.2	PRSS54
chr16	68539290	68567131	+	NM_001305203.2	ZFP90
chr16	74376305	74392115	+	NM_001306094.2	NPIPB15
chr16	2911930	2951208	+	NM_001308068.2	FLYWCH1
chr16	14071318	14266773	+	NM_001308142.2	MRTFB
chr16	20451520	20487669	+	NM_001308172.2	ACSM2A
chr16	53054990	53327497	+	NM_001308319.2	CHD9
chr16	28638064	28658744	+	NM_001310136.2	NPIPB8
chr16	29381309	29406711	-	NM_001310137.5	NPIPB11
chr16	28379714	28403841	-	NM_001317857.2	EIF3CL
chr16	88857126	88862678	+	NM_001318525.2	TRAPPC2L
chr16	1706194	1770351	+	NM_001318852.2	MAPK8IP3
chr16	20623234	20697680	-	NM_001318890.3	ACSM1
chr16	19523941	19553408	+	NM_001323572.2	CCP110
chr16	67394151	67416477	-	NM_001323627.2	ZDHHC1
chr16	75596867	75623281	-	NM_001324445.2	ADAT1
chr16	1485885	1488944	-	NM_001328608.2	PTX4
chr16	30896613	30903547	+	NM_001330.5	CTF1
chr16	33304305	33306945	+	NM_001330061.2	TP53TG3E
chr16	33459611	33462249	+	NM_001330066.2	TP53TG3F
chr16	2520370	2531417	+	NM_001330449.2	AMDHD2
chr16	20933110	21150846	-	NM_001347886.2	DNAH3
chr16	75693892	75701461	-	NM_001351307.2	DUXB
chr16	24845962	24911626	+	NM_001352248.3	SLC5A11
chr16	75714130	75726490	-	NM_001355613.1	CPHXL
chr16	72008743	72027659	+	NM_001361.5	DHODH
chr16	21983864	22001116	-	NM_001363519.1	PDZD9
chr16	56625780	56627112	+	NM_001363555.2	MT1E
chr16	66988588	67010417	+	NM_001364782.1	CES4A
chr16	30053150	30070414	+	NM_001365304.2	LOC112694756
chr16	1431077	1434441	+	NM_001365310.2	PERCC1
chr16	50153305	50235310	+	NM_001365324.3	TENT4B
chr16	66935515	66945096	+	NM_001365405.1	CES2
chr16	30378134	30382561	-	NM_001365977.2	SEPTIN1
chr16	71429979	71442054	-	NM_001367365.2	TLE7
chr16	88382958	88440753	+	NM_001367624.2	ZNF469
chr16	3027681	3036944	-	NM_001369667.1	BICDL2
chr16	67975662	67980499	-	NM_001370198.1	DPEP3
chr16	50693605	50733075	+	NM_001370466.1	NOD2
chr16	48165772	48247539	-	NM_001370497.1	ABCC11
chr16	69951333	69963986	+	NM_001370523.4	CLEC18A
chr16	3188203	3206556	+	NM_001370640.6	OR1F1
chr16	11372014	11527247	-	NM_001370704.1	LOC400499
chr16	1363204	1414704	-	NM_001372107.1	UNKL
chr16	2236443	2238711	+	NM_001374.3	DNASE1L2
chr16	67164744	67169941	+	NM_001374675.1	HSF4
chr16	21197449	21211574	-	NM_001376232.1	ZP2
chr16	21258520	21278290	-	NM_001376256.1	CRYM
chr16	3065639	3069530	+	NM_001376923.1	IL32
chr16	722581	726443	-	NM_001378030.1	CCDC78
chr16	50742085	50801935	+	NM_001378743.1	CYLD
chr16	49487523	49856112	-	NM_001379286.1	ZNF423
chr16	71447596	71462247	-	NM_001381984.1	ZNF23
chr16	30923571	30948783	+	NM_001382779.1	FBXL19
chr16	89195760	89200537	-	NM_001384763.1	SLC22A31
chr16	56989556	57083520	+	NM_001384950.1	NLRC5
chr16	21834581	21857756	-	NM_001384980.1	NPIPB4
chr16	74408630	74421478	-	NM_001385193.1	CLEC18B
chr16	87951433	88077316	+	NM_001386991.1	BANP
chr16	28863842	28874205	+	NM_001387430.1	SH2B1
chr16	85027794	85094218	+	NM_001388359.1	KIAA0513
chr16	89613641	89638433	+	NM_001389466.1	DPEP1
chr16	70646558	70660682	+	NM_001393494.1	IL34
chr16	10386060	10483638	+	NM_001393719.1	ATF7IP2
chr16	48080881	48155993	-	NM_001393797.1	ABCC12
chr16	22162505	22191751	+	NM_001394319.2	SDR42E2
chr16	28342516	28363508	-	NM_001395275.1	NPIPB6
chr16	8882350	8885350	+	NM_001395433.1	LITAFD
chr16	14742532	14765462	+	NM_001395485.2	NPIPA2
chr16	14703410	14726342	+	NM_001395487.1	NPIPA3
chr16	2798469	2805304	+	NM_001395501.1	PRSS41
chr16	22510890	22536535	+	NM_001395849.1	NPIPB5
chr16	30222896	30248479	-	NM_001395859.2	NPIPB13
chr16	75660226	75677009	-	NM_001395862.1	CPHXL2
chr16	29483533	29506408	-	NM_001395931.1	NPIPB12
chr16	53041483	53052897	-	NM_001396020.1	CHD9NB
chr16	28456328	28472336	-	NM_001396030.1	NPIPB7
chr16	51645756	51647079	+	NM_001396241.1	HNRNPA1L3
chr16	2988261	3002011	+	NM_001396456.1	GREP1
chr16	11927372	11942045	-	NM_001396485.1	NPIPB2
chr16	18358089	18376839	-	NM_001405004.1	NPIPA9
chr16	89317045	89418292	-	NM_001416403.1	LOC128462377
chr16	10528421	10580598	-	NM_001424.6	EMP2
chr16	86510526	86515422	+	NM_001451.3	FOXF1
chr16	90022679	90044960	+	NM_001481.3	GAS8
chr16	20309573	20327513	-	NM_001502.4	GP2
chr16	27460612	27549913	-	NM_001520.4	GTF3C1
chr16	83807977	83819737	+	NM_001537.4	HSBP1
chr16	70252297	70289506	-	NM_001605.3	AARS1
chr16	2513951	2520218	+	NM_001694.4	ATP6V0C
chr16	87888012	87936529	-	NM_001739.2	CA5A
chr16	71358722	71390433	+	NM_001740.5	CALB2
chr16	2429446	2458854	+	NM_001761.3	CCNF
chr16	28931970	28939342	+	NM_001770.6	CD19
chr16	68645309	68700292	+	NM_001793.6	CDH3
chr16	66366690	66404784	+	NM_001795.5	CDH5
chr16	61647249	62036438	-	NM_001796.5	CDH8
chr16	64943752	65122063	-	NM_001797.4	CDH11
chr16	22345935	22374619	-	NM_001802.2	CDR2
chr16	85799694	85807068	+	NM_001861.6	COX4I1
chr16	58157906	58198106	-	NM_001896.4	CSNK2A2
chr16	75218987	75224924	+	NM_001906.6	CTRB1
chr16	67929573	67931862	-	NM_001907.3	CTRL
chr16	2239401	2251587	-	NM_001919.4	ECI1
chr16	67192154	67198918	+	NM_001950.4	E2F4
chr16	58707130	58734316	-	NM_002080.4	GOT2
chr16	11868127	11915956	-	NM_002094.4	GSPT1
chr16	4476397	4510347	+	NM_002134.4	HMOX2
chr16	82035252	82098534	+	NM_002153.3	HSD17B2
chr16	85899161	85922606	+	NM_002163.4	IRF8
chr16	30472741	30523185	+	NM_002209.3	ITGAL
chr16	29806528	29811164	+	NM_002383.4	MAZ
chr16	89918861	89920972	+	NM_002386.4	MC1R
chr16	58025753	58046901	+	NM_002428.4	MMP15
chr16	88651939	88663091	-	NM_002461.3	MVD
chr16	15703134	15857028	-	NM_002474.3	MYH11
chr16	10743841	10769351	+	NM_002484.4	NUBP1
chr16	1770319	1771543	-	NM_002513.3	NME3
chr16	2039819	2047834	-	NM_002528.7	NTHL1
chr16	14435700	14630260	-	NM_002582.4	PARN
chr16	2538020	2603188	+	NM_002613.5	PDPK1
chr16	81779290	81962685	+	NM_002661.5	PLCG2
chr16	4882506	4937148	-	NM_002705.5	PPL
chr16	30075993	30085376	+	NM_002720.3	PPP4C
chr16	23835982	24220611	+	NM_002738.7	PRKCB
chr16	30114104	30123220	-	NM_002746.3	MAPK3
chr16	11280840	11281330	-	NM_002761.3	PRM1
chr16	11275638	11276480	-	NM_002762.4	PRM2
chr16	89644434	89657708	-	NM_002768.5	CHMP1A
chr16	31131432	31135727	-	NM_002773.5	PRSS8
chr16	67934505	67936850	-	NM_002801.4	PSMB10
chr16	74296813	74306288	+	NM_002811.5	PSMD7
chr16	1962057	1964826	-	NM_002952.4	RPS2
chr16	51135981	51151270	-	NM_002968.3	SALL1
chr16	57404766	57416063	+	NM_002987.3	CCL17
chr16	57358782	57366189	+	NM_002990.5	CCL22
chr16	57372489	57385044	+	NM_002996.6	CX3CL1
chr16	48360530	48385413	-	NM_003031.4	SIAH1
chr16	31483122	31490769	+	NM_003041.4	SLC5A2
chr16	89508402	89557766	+	NM_003119.4	SPG7
chr16	29663246	29670876	+	NM_003123.6	SPN
chr16	4257185	4273023	-	NM_003223.3	TFAP4
chr16	1240704	1242554	+	NM_003294.4	TPSAB1
chr16	28842410	28846348	-	NM_003321.5	TUFM
chr16	1309635	1327017	+	NM_003345.5	UBE2I
chr16	20333050	20352715	-	NM_003361.4	UMOD
chr16	21953360	21983660	+	NM_003366.4	UQCRC2
chr16	31873806	31917357	+	NM_003414.6	ZNF267
chr16	3401214	3409364	+	NM_003450.3	ZNF174
chr16	8892096	8963906	-	NM_003470.3	USP7
chr16	87830022	87869507	-	NM_003486.7	SLC7A5
chr16	11668454	11679152	+	NM_003498.6	SNN
chr16	287439	352723	-	NM_003502.4	AXIN1
chr16	14672547	14694308	-	NM_003561.3	PLA2G10
chr16	30005513	30011027	-	NM_003586.3	DOC2A
chr16	29992329	29995617	-	NM_003609.5	HIRIP3
chr16	11254416	11256204	-	NM_003745.2	SOCS1
chr16	28711463	28735596	+	NM_003752.5	EIF3C
chr16	67154184	67159909	-	NM_003789.4	TRADD
chr16	84053762	84116942	-	NM_003791.4	MBTPS1
chr16	66802877	66830976	-	NM_003905.4	NAE1
chr16	68264525	68301819	+	NM_003983.6	SLC7A6
chr16	66908121	66918885	-	NM_004062.4	CDH16
chr16	66921684	66925535	-	NM_004165.3	RRAD
chr16	2972807	2980446	-	NM_004203.5	PKMYT1
chr16	569967	584109	+	NM_004204.5	PIGQ
chr16	1989969	1994275	+	NM_004209.6	SYNGR3
chr16	3135028	3142804	+	NM_004220.3	ZNF213
chr16	28878487	28904466	+	NM_004320.6	ATP2A1
chr16	49277916	49281838	-	NM_004352.4	CBLN1
chr16	68737291	68835537	+	NM_004360.5	CDH1
chr16	3725053	3880713	-	NM_004380.3	CREBBP
chr16	2223590	2235742	+	NM_004424.5	E4F1
chr16	81081944	81096395	-	NM_004483.5	GCSH
chr16	55479197	55506691	+	NM_004530.6	MMP2
chr16	1959537	1961975	+	NM_004548.3	NDUFB10
chr16	67248978	67272191	+	NM_004594.3	SLC9A5
chr16	31033557	31040164	+	NM_004604.5	STX4
chr16	30085792	30091924	-	NM_004608.4	TBX6
chr16	66508002	66550122	-	NM_004614.5	TK2
chr16	67438018	67481157	-	NM_004691.5	ATP6V0D1
chr16	30887794	30894077	-	NM_004765.4	BCL7C
chr16	89707133	89720898	-	NM_004913.3	VPS9D1
chr16	89171747	89195492	+	NM_004933.3	CDH15
chr16	31180138	31191605	+	NM_004960.4	FUS
chr16	1790412	1793705	-	NM_004970.3	IGFALS
chr16	15949615	16143053	+	NM_004996.4	ABCC1
chr16	23581013	23596316	-	NM_005003.3	NDUFAB1
chr16	397198	400754	+	NM_005009.3	NME4
chr16	23678888	23690367	+	NM_005030.6	PLK1
chr16	1943973	1954689	-	NM_005061.3	RPL3L
chr16	67943473	67968637	-	NM_005072.5	SLC12A4
chr16	29820461	29848021	+	NM_005115.5	MVP
chr16	72054504	72061055	+	NM_005143.5	HP
chr16	4425867	4456775	+	NM_005147.6	DNAJA3
chr16	84699999	84779922	+	NM_005153.3	USP10
chr16	66844413	66854147	+	NM_005182.3	CA7
chr16	88874857	88977207	-	NM_005187.6	CBFA2T3
chr16	31427730	31428360	-	NM_005205.4	COX6A2
chr16	3654690	3658095	+	NM_005223.4	DNASE1
chr16	13920153	13952348	+	NM_005236.3	ERCC4
chr16	86578548	86583478	+	NM_005250.3	FOXL1
chr16	86566828	86569728	+	NM_005251.3	FOXC2
chr16	1984192	1987749	+	NM_005262.3	GFER
chr16	1807628	1826825	-	NM_005326.6	HAGH
chr16	180458	181179	+	NM_005331.5	HBQ1
chr16	152643	154503	+	NM_005332.3	HBZ
chr16	31393334	31426505	+	NM_005353.3	ITGAD
chr16	79593837	79600737	-	NM_005360.5	MAF
chr16	11267856	11269325	-	NM_005425.5	TNP2
chr16	75627723	75647665	-	NM_005548.3	KARS1
chr16	53434470	53491648	+	NM_005611.4	RBL2
chr16	20764013	20797581	+	NM_005622.4	ACSM3
chr16	527711	554636	+	NM_005632.3	CAPN15
chr16	69355566	69386007	-	NM_005652.5	TERF2
chr16	3283490	3291460	+	NM_005741.5	ZNF263
chr16	78022547	78032101	+	NM_005752.6	CLEC3A
chr16	82148161	82170224	-	NM_005792.2	MPHOSPH6
chr16	67846932	67872567	+	NM_005796.3	NUTF2
chr16	760733	768862	+	NM_005823.6	MSLN
chr16	21639549	21652608	-	NM_005849.4	IGSF6
chr16	54930864	54934485	+	NM_005853.6	IRX5
chr16	680409	682801	+	NM_005861.4	STUB1
chr16	46955361	46973674	-	NM_005880.4	DNAJA2
chr16	31108385	31112791	+	NM_005881.4	BCKDK
chr16	57735769	57757244	+	NM_005886.3	KATNB1
chr16	56638665	56640087	+	NM_005946.3	MT1A
chr16	56651885	56653204	+	NM_005947.3	MT1B
chr16	56657958	56659303	+	NM_005949.4	MT1F
chr16	56669813	56671129	+	NM_005951.2	MT1H
chr16	56682469	56684196	+	NM_005952.4	MT1X
chr16	56608583	56609497	+	NM_005953.5	MT2A
chr16	56589527	56591085	+	NM_005954.4	MT3
chr16	25691958	26137685	+	NM_006040.3	HS3ST4
chr16	22814161	22916338	+	NM_006043.2	HS3ST2
chr16	85778623	85799544	-	NM_006067.5	EMC8
chr16	89923341	89936097	+	NM_006086.4	TUBB3
chr16	30350772	30355308	-	NM_006110.3	CD2BP2
chr16	66720892	66751609	-	NM_006141.3	DYNC1LI2
chr16	2471296	2474145	+	NM_006181.3	NTN3
chr16	29858356	29863226	-	NM_006319.5	CDIPT
chr16	75293709	75433503	-	NM_006324.3	CFDP1
chr16	366968	370538	-	NM_006428.5	MRPL28
chr16	1972052	1982929	+	NM_006453.3	TBL3
chr16	24256334	24362412	+	NM_006539.4	CACNG3
chr16	67562525	67639177	+	NM_006565.4	CTCF
chr16	30699170	30741409	+	NM_006662.3	SRCAP
chr16	67893253	67929676	+	NM_006742.3	PSKH1
chr16	69187163	69309052	+	NM_006750.4	SNTB2
chr16	2817236	2821719	+	NM_006799.4	PRSS21
chr16	283163	287215	+	NM_006849.4	PDIA2
chr16	72782884	73048128	-	NM_006885.4	ZFHX3
chr16	24539565	24572863	+	NM_006910.5	RBBP6
chr16	70375976	70439100	-	NM_006927.4	ST3GAL2
chr16	71473582	71489324	-	NM_006961.4	ZNF19
chr16	14937442	14952056	+	NM_006985.4	NPIPA1
chr16	56429132	56451332	-	NM_007006.3	NUDT21
chr16	30183601	30189076	+	NM_007074.4	CORO1A
chr16	2771413	2777280	-	NM_007108.4	ELOB
chr16	70299185	70335305	+	NM_007242.7	DDX19B
chr16	28822998	28837232	+	NM_007245.4	ATXN2L
chr16	75566378	75577881	+	NM_007285.7	GABARAPL2
chr16	29790750	29805384	+	NM_007317.3	KIF22
chr16	57245258	57253635	+	NM_012106.4	ARL2BP
chr16	83899114	83927031	+	NM_012213.3	MLYCD
chr16	1256068	1259008	+	NM_012217.3	TPSD1
chr16	1782959	1789186	+	NM_012225.4	NUBP2
chr16	30443630	30445874	-	NM_012248.4	SEPHS2
chr16	68245372	68261058	+	NM_012320.4	PLA2G15
chr16	3355888	3357306	+	NM_012368.3	OR2C1
chr16	28532707	28538974	-	NM_012385.3	NUPR1
chr16	70523815	70577668	+	NM_012426.5	SF3B3
chr16	1221650	1225268	-	NM_012467.4	TPSG1
chr16	67229388	67247481	-	NM_013241.3	FHOD1
chr16	58113591	58129381	-	NM_013242.3	CFAP20
chr16	69311349	69326939	+	NM_013245.3	VPS4A
chr16	31201485	31202760	-	NM_013258.5	PYCARD
chr16	50315956	50368988	-	NM_013263.5	BRD7
chr16	89267629	89490561	-	NM_013275.6	ANKRD11
chr16	88638571	88640468	+	NM_013278.4	IL17C
chr16	30374801	30377991	+	NM_013292.5	MYL11
chr16	22206277	22288738	+	NM_013302.5	EEF2K
chr16	4510668	4538773	-	NM_013399.3	CDIP1
chr16	72093846	72112912	+	NM_014003.4	DHX38
chr16	10928890	10942468	-	NM_014015.4	DEXI
chr16	69741870	69754926	-	NM_014062.3	NOB1
chr16	9091643	9121635	+	NM_014117.3	HAPSTR1
chr16	11750596	11797258	-	NM_014153.4	ZC3H7A
chr16	58249935	58283836	+	NM_014157.4	CCDC113
chr16	67227129	67229278	+	NM_014187.4	TMEM208
chr16	14833720	14896157	+	NM_014287.4	NOMO1
chr16	29679179	29698699	+	NM_014298.6	QPRT
chr16	8852946	8869006	-	NM_014316.4	CARHSP1
chr16	46689658	46698394	+	NM_014321.4	ORC6
chr16	67873051	67884499	+	NM_014329.5	EDC4
chr16	2148624	2154165	+	NM_014353.5	RAB26
chr16	24729650	24826218	+	NM_014494.4	TNRC6A
chr16	75228180	75251624	-	NM_014567.5	BCAR1
chr16	981769	986979	+	NM_014587.5	SOX8
chr16	85613321	85676200	+	NM_014615.5	GSE1
chr16	15594386	15643154	-	NM_014647.4	MARF1
chr16	56730128	56850286	+	NM_014669.5	NUP93
chr16	56932141	56944864	+	NM_014685.4	HERPUD1
chr16	4958329	5019157	+	NM_014692.2	SEC14L5
chr16	31074421	31084196	+	NM_014699.4	ZNF646
chr16	425648	523011	+	NM_014700.4	RAB11FIP3
chr16	30957753	30984664	+	NM_014712.3	SETD1A
chr16	1510426	1612072	-	NM_014714.4	IFT140
chr16	30762321	30776307	+	NM_014771.4	RNF40
chr16	84368537	84464187	+	NM_014861.4	ATP2C2
chr16	77191189	77202398	+	NM_014940.4	MON1B
chr16	89873591	89911379	+	NM_014972.3	TCF25
chr16	71644923	71724701	-	NM_015020.3	PHLPP2
chr16	14975025	15038332	+	NM_015027.4	PDXDC1
chr16	3501003	3539048	+	NM_015041.3	CLUAP1
chr16	23463541	23510494	-	NM_015044.4	GGA2
chr16	18804859	18926408	-	NM_015092.5	SMG1
chr16	87406247	87493024	-	NM_015144.3	ZCCHC14
chr16	18791668	18801549	-	NM_015161.3	ARL6IP1
chr16	28097975	28211965	-	NM_015171.4	XPO6
chr16	27550143	27780344	+	NM_015202.5	KATNIP
chr16	10944563	11182186	+	NM_015226.3	CLEC16A
chr16	4624825	4690972	+	NM_015246.4	MGRN1
chr16	81035841	81047350	+	NM_015251.3	ATMIN
chr16	53598152	53703859	-	NM_015272.5	RPGRIP1L
chr16	70480570	70523554	-	NM_015386.3	COG4
chr16	8795179	8797639	-	NM_015421.4	TMEM186
chr16	30357101	30370494	-	NM_015527.4	TBC1D10B
chr16	11833849	11851542	-	NM_015659.3	RSL1D1
chr16	11679082	11742857	-	NM_015914.7	TXNDC11
chr16	67389808	67393498	-	NM_015964.4	TPPP3
chr16	57256096	57284672	-	NM_015993.3	PLLP
chr16	21599576	21657471	+	NM_016025.5	METTL9
chr16	66932064	66934402	-	NM_016062.4	CIAO2B
